City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Weather Conditions
118,Zhezkazgan,47.8043,67.7144,64.09,26,100,10.13,KZ,2021-06-06 19:46:19,overcast clouds
119,Castro,-24.7911,-50.0119,66.45,66,99,4.12,BR,2021-06-06 19:41:34,moderate rain
120,Victoria,22.2855,114.1577,82.33,85,39,4.0,HK,2021-06-06 19:42:51,scattered clouds
121,Kenai,60.5544,-151.2583,62.69,48,1,6.91,US,2021-06-06 19:46:20,clear sky
122,Port Alfred,-33.5906,26.891,65.52,36,0,8.14,ZA,2021-06-06 19:41:21,clear sky
123,Poum,-20.2333,164.0167,72.18,61,55,15.5,NC,2021-06-06 19:46:21,broken clouds
124,Kazachinskoye,57.6953,93.2761,55.8,93,100,14.14,RU,2021-06-06 19:46:21,light rain
125,Norman Wells,65.282,-126.8329,50.04,76,90,10.36,CA,2021-06-06 19:46:21,overcast clouds
126,Asau,46.4333,26.4,56.32,85,6,4.27,RO,2021-06-06 19:46:22,clear sky
127,Luderitz,-26.6481,15.1594,67.48,36,0,5.5,NA,2021-06-06 19:46:22,clear sky
128,Kachiry,53.0675,76.1036,58.96,41,0,2.15,KZ,2021-06-06 19:46:22,clear sky
129,Vila Velha,-20.3297,-40.2925,78.75,74,20,7.0,BR,2021-06-06 19:41:26,few clouds
130,Vallenar,-28.5708,-70.7581,73.44,34,0,6.22,CL,2021-06-06 19:46:23,clear sky
131,Fortuna,40.5982,-124.1573,67.42,61,40,3.0,US,2021-06-06 19:46:23,scattered clouds
132,Berlevag,70.8578,29.0864,41.0,65,20,6.91,NO,2021-06-06 19:46:23,few clouds
133,Makakilo City,21.3469,-158.0858,80.92,56,20,10.36,US,2021-06-06 19:43:14,light rain
134,Saint Anthony,45.0205,-93.218,91.83,39,1,5.99,US,2021-06-06 19:46:24,clear sky
135,East London,-33.0153,27.9116,63.3,41,0,9.78,ZA,2021-06-06 19:46:24,clear sky
136,Santa Isabel,-23.3156,-46.2214,80.38,63,65,1.63,BR,2021-06-06 19:46:25,broken clouds
137,Tessalit,20.1986,1.0114,96.84,13,89,7.58,ML,2021-06-06 19:46:25,overcast clouds
138,Tomatlan,19.9333,-105.25,93.78,41,55,12.44,MX,2021-06-06 19:46:25,broken clouds
139,Tuatapere,-46.1333,167.6833,40.93,92,22,4.54,NZ,2021-06-06 19:44:19,few clouds
140,Anau,-16.5167,-151.7333,80.73,75,59,10.8,PF,2021-06-06 19:46:26,broken clouds
141,Kuloy,61.0305,42.4925,61.56,73,92,4.94,RU,2021-06-06 19:46:26,overcast clouds
142,Hambantota,6.1241,81.1185,79.66,85,100,15.28,LK,2021-06-06 19:46:27,overcast clouds
143,Sao Filipe,14.8961,-24.4956,75.92,68,7,6.98,CV,2021-06-06 19:46:27,clear sky
144,Rodrigues Alves,-7.738,-72.6509,79.0,87,98,0.2,BR,2021-06-06 19:46:27,overcast clouds
145,Port-Gentil,-0.7193,8.7815,78.76,89,40,9.22,GA,2021-06-06 19:46:28,scattered clouds
146,Tawau,4.2498,117.8871,75.33,94,100,1.01,MY,2021-06-06 19:46:28,overcast clouds
147,Holme,56.1138,10.1725,63.97,80,100,5.64,DK,2021-06-06 19:46:28,overcast clouds
148,Praia,14.9215,-23.5087,77.54,69,20,21.85,CV,2021-06-06 19:46:29,few clouds
149,Faanui,-16.4833,-151.75,80.8,75,56,10.74,PF,2021-06-06 19:46:29,broken clouds
150,Chuy,-33.6971,-53.4616,54.05,75,100,5.06,UY,2021-06-06 19:41:48,overcast clouds
151,Qasigiannguit,68.8193,-51.1922,43.05,79,80,3.96,GL,2021-06-06 19:46:29,broken clouds
152,Ornskoldsvik,63.2909,18.7153,62.42,77,99,0.94,SE,2021-06-06 19:46:30,overcast clouds
153,Itoman,26.1247,127.6694,75.97,94,75,10.36,JP,2021-06-06 19:46:30,broken clouds
154,Faya,18.3851,42.4509,75.31,52,9,0.38,SA,2021-06-06 19:41:44,clear sky
155,Ketchikan,55.3422,-131.6461,52.27,82,90,12.66,US,2021-06-06 19:46:31,light rain
156,Cherskiy,68.75,161.3,64.29,42,100,17.11,RU,2021-06-06 19:46:31,overcast clouds
157,Mutum,-19.8,-41.4383,75.54,60,99,2.8,BR,2021-06-06 19:46:31,overcast clouds
158,Port Hardy,50.6996,-127.4199,53.78,87,90,10.36,CA,2021-06-06 19:42:42,overcast clouds
159,Mahebourg,-20.4081,57.7,73.69,83,40,9.22,MU,2021-06-06 19:46:32,scattered clouds
160,Butaritari,3.0707,172.7902,82.22,72,20,5.1,KI,2021-06-06 19:46:32,light rain
161,Pekan,3.4836,103.3996,77.11,87,99,5.88,MY,2021-06-06 19:46:32,overcast clouds
162,Lebu,-37.6167,-73.65,51.75,70,100,2.71,CL,2021-06-06 19:46:33,light rain
163,Bathsheba,13.2167,-59.5167,86.61,58,40,19.73,BB,2021-06-06 19:46:33,scattered clouds
164,Taltal,-25.4,-70.4833,63.82,71,17,4.38,CL,2021-06-06 19:46:33,few clouds
